week_ending,item_id,location_id,on_hand_qty
2022-12-09,SKU001,BLR_WH,316
2022-12-16,SKU001,BLR_WH,316
2022-12-23,SKU001,BLR_WH,316
2022-12-30,SKU001,BLR_WH,316
2023-01-06,SKU001,BLR_WH,316
2023-01-13,SKU001,BLR_WH,316
2023-01-20,SKU001,BLR_WH,316
2023-01-27,SKU001,BLR_WH,316
2023-02-03,SKU001,BLR_WH,316
2023-02-10,SKU001,BLR_WH,316
2023-02-17,SKU001,BLR_WH,316
2023-02-24,SKU001,BLR_WH,316
2023-03-03,SKU001,BLR_WH,316
2023-03-10,SKU001,BLR_WH,316
2023-03-17,SKU001,BLR_WH,316
2023-03-24,SKU001,BLR_WH,316
2023-03-31,SKU001,BLR_WH,316
2023-04-07,SKU001,BLR_WH,316
2023-04-14,SKU001,BLR_WH,316
2023-04-21,SKU001,BLR_WH,316
2023-04-28,SKU001,BLR_WH,316
2023-05-05,SKU001,BLR_WH,316
2023-05-12,SKU001,BLR_WH,316
2023-05-19,SKU001,BLR_WH,316
2023-05-26,SKU001,BLR_WH,316
2023-06-02,SKU001,BLR_WH,316
2023-06-09,SKU001,BLR_WH,316
2023-06-16,SKU001,BLR_WH,316
2023-06-23,SKU001,BLR_WH,316
2023-06-30,SKU001,BLR_WH,316
2023-07-07,SKU001,BLR_WH,316
2023-07-14,SKU001,BLR_WH,316
2023-07-21,SKU001,BLR_WH,316
2023-07-28,SKU001,BLR_WH,316
2023-08-04,SKU001,BLR_WH,316
2023-08-11,SKU001,BLR_WH,316
2023-08-18,SKU001,BLR_WH,304
2023-08-25,SKU001,BLR_WH,292
2023-09-01,SKU001,BLR_WH,279
2023-09-08,SKU001,BLR_WH,268
2023-09-15,SKU001,BLR_WH,257
2023-09-22,SKU001,BLR_WH,247
2023-09-29,SKU001,BLR_WH,231
2023-10-06,SKU001,BLR_WH,219
2023-10-13,SKU001,BLR_WH,208
2023-10-20,SKU001,BLR_WH,196
2023-10-27,SKU001,BLR_WH,184
2023-11-03,SKU001,BLR_WH,172
2023-11-10,SKU001,BLR_WH,158
2023-11-17,SKU001,BLR_WH,144
2023-11-24,SKU001,BLR_WH,132
2023-12-01,SKU001,BLR_WH,120
2023-12-08,SKU001,BLR_WH,107
2023-12-15,SKU001,BLR_WH,98
2023-12-22,SKU001,BLR_WH,87
2023-12-29,SKU001,BLR_WH,70
2024-01-05,SKU001,BLR_WH,52
2024-01-12,SKU001,BLR_WH,38
2024-01-19,SKU001,BLR_WH,22
2024-01-26,SKU001,BLR_WH,116
2024-02-02,SKU001,BLR_WH,217
2024-02-09,SKU001,BLR_WH,338
2024-02-16,SKU001,BLR_WH,323
2024-02-23,SKU001,BLR_WH,310
2024-03-01,SKU001,BLR_WH,298
2024-03-08,SKU001,BLR_WH,282
2024-03-15,SKU001,BLR_WH,268
2024-03-22,SKU001,BLR_WH,256
2024-03-29,SKU001,BLR_WH,242
2024-04-05,SKU001,BLR_WH,229
2024-04-12,SKU001,BLR_WH,210
2024-04-19,SKU001,BLR_WH,193
2024-04-26,SKU001,BLR_WH,178
2024-05-03,SKU001,BLR_WH,160
2024-05-10,SKU001,BLR_WH,146
2024-05-17,SKU001,BLR_WH,134
2024-05-24,SKU001,BLR_WH,117
2024-05-31,SKU001,BLR_WH,103
2024-06-07,SKU001,BLR_WH,92
2024-06-14,SKU001,BLR_WH,80
2024-06-21,SKU001,BLR_WH,69
2024-06-28,SKU001,BLR_WH,60
2024-07-05,SKU001,BLR_WH,47
2024-07-12,SKU001,BLR_WH,147
2024-07-19,SKU001,BLR_WH,240
2024-07-26,SKU001,BLR_WH,229
2024-08-02,SKU001,BLR_WH,220
2024-08-09,SKU001,BLR_WH,211
2024-08-16,SKU001,BLR_WH,202
2024-08-23,SKU001,BLR_WH,194
2024-08-30,SKU001,BLR_WH,185
2024-09-06,SKU001,BLR_WH,177
2024-09-13,SKU001,BLR_WH,168
2024-09-20,SKU001,BLR_WH,160
2024-09-27,SKU001,BLR_WH,152
2024-10-04,SKU001,BLR_WH,145
2024-10-11,SKU001,BLR_WH,137
2024-10-18,SKU001,BLR_WH,128
2024-10-25,SKU001,BLR_WH,119
2024-11-01,SKU001,BLR_WH,112
2024-11-08,SKU001,BLR_WH,104
2024-11-15,SKU001,BLR_WH,95
2024-11-22,SKU001,BLR_WH,89
2024-11-29,SKU001,BLR_WH,80
2024-12-06,SKU001,BLR_WH,72
2024-12-13,SKU001,BLR_WH,62
2024-12-20,SKU001,BLR_WH,54
2024-12-27,SKU001,BLR_WH,47
2025-01-03,SKU001,BLR_WH,40
2025-01-10,SKU001,BLR_WH,251
2025-01-17,SKU001,BLR_WH,241
2025-01-24,SKU001,BLR_WH,340
2025-01-31,SKU001,BLR_WH,443
2025-02-07,SKU001,BLR_WH,436
2025-02-14,SKU001,BLR_WH,426
2025-02-21,SKU001,BLR_WH,418
2025-02-28,SKU001,BLR_WH,409
2025-03-07,SKU001,BLR_WH,399
2025-03-14,SKU001,BLR_WH,390
2025-03-21,SKU001,BLR_WH,381
